participant_id,synthetic,generated,arm,age_band,gender,education,prior_play,language,consent_ts,enrol_recorded_ts,n_sessions,any_early_end,total_distance_m,mean_distance_m,best_score,mean_score,total_coins,total_obstacles_hit,mean_avg_balance_pct,max_speed_overall,final_AI_DiffMult_last_run,questionnaire_complete,D1_coordination_challenge,D2_play_regularly,F1_matched_ability,F2_progress_motivated,D2_top_two_box,answered_ts,exported_ts
SYN-P001,TRUE,2026-09-13 by simulation for pipeline demonstration,B,65-80,F,degree+,no,zh,2026-09-13T01:00:43.895Z,2026-09-13T01:01:58.745Z,3,FALSE,1377,459.0,689,645.7,41,4,97.4,15.3,0.85,FALSE,,,,,,,2026-09-13T01:09:49.759Z
SYN-P002,TRUE,2026-09-13 by simulation for pipeline demonstration,A,45-64,M,post-secondary,no,zhs,2026-09-13T01:12:03.701Z,2026-09-13T01:13:12.205Z,6,FALSE,2257,376.2,597,554.5,77,17,97.2,16.2,0.8,FALSE,,,,,,,2026-09-13T01:27:14.682Z
SYN-P003,TRUE,2026-09-13 by simulation for pipeline demonstration,A,65-80,F,post-secondary,yes,en,2026-09-13T01:24:51.913Z,2026-09-13T01:25:34.614Z,4,TRUE,1548,387.0,622,559.5,49,3,97.9,18,1.1,TRUE,5,2,1,4,FALSE,2026-09-13T01:31:00.189Z,2026-09-13T01:31:21.220Z
SYN-P004,TRUE,2026-09-13 by simulation for pipeline demonstration,A,25-44,M,degree+,no,zh,2026-09-13T01:37:00.798Z,2026-09-13T01:38:00.711Z,3,FALSE,1264,421.3,642,624.7,46,2,97.8,18,1.1,TRUE,5,5,5,5,TRUE,2026-09-13T01:42:51.870Z,2026-09-13T01:43:03.501Z
SYN-P005,TRUE,2026-09-13 by simulation for pipeline demonstration,A,65-80,M,degree+,no,zh,2026-09-13T01:48:42.756Z,2026-09-13T01:49:41.016Z,3,FALSE,1091,363.7,602,530.3,35,7,97.1,18,1,TRUE,4,4,2,5,TRUE,2026-09-13T01:53:58.396Z,2026-09-13T01:54:10.798Z
SYN-P006,TRUE,2026-09-13 by simulation for pipeline demonstration,A,65-80,F,secondary,no,zh,2026-09-13T01:58:35.015Z,2026-09-13T01:59:34.758Z,3,FALSE,1021,340.3,527,507.0,35,13,96.8,14.4,0.8,TRUE,4,4,5,4,TRUE,2026-09-13T02:03:46.736Z,2026-09-13T02:04:09.903Z
SYN-P007,TRUE,2026-09-13 by simulation for pipeline demonstration,A,65-80,F,secondary,no,zh,2026-09-13T02:11:32.339Z,2026-09-13T02:12:31.173Z,2,FALSE,734,367.0,556,552.0,27,7,97.0,14.4,0.7,TRUE,5,2,4,3,FALSE,2026-09-13T02:16:32.720Z,2026-09-13T02:16:46.360Z
SYN-P008,TRUE,2026-09-13 by simulation for pipeline demonstration,B,45-64,F,degree+,no,en,2026-09-13T02:23:33.290Z,2026-09-13T02:24:31.628Z,1,TRUE,165,165.0,225,225.0,6,2,96.4,15.3,0.85,FALSE,,,,,,,2026-09-13T02:31:33.192Z
SYN-P009,TRUE,2026-09-13 by simulation for pipeline demonstration,B,45-64,F,secondary,no,en,2026-09-13T02:34:57.623Z,2026-09-13T02:36:03.367Z,2,TRUE,682,341.0,659,506.0,23,4,97.3,15.3,0.85,TRUE,2,4,3,5,TRUE,2026-09-13T02:39:00.497Z,2026-09-13T02:39:11.600Z
SYN-P010,TRUE,2026-09-13 by simulation for pipeline demonstration,B,65-80,F,secondary,no,zh,2026-09-13T02:45:49.307Z,2026-09-13T02:46:55.476Z,5,FALSE,2295,459.0,659,637.0,64,16,97.1,15.3,0.85,TRUE,4,5,3,3,TRUE,2026-09-13T02:54:28.249Z,2026-09-13T02:54:41.930Z
SYN-P011,TRUE,2026-09-13 by simulation for pipeline demonstration,B,65-80,F,secondary,no,en,2026-09-13T02:57:17.488Z,2026-09-13T02:57:57.437Z,1,FALSE,459,459.0,629,629.0,12,4,96.6,15.3,0.85,TRUE,4,2,4,3,FALSE,2026-09-13T03:00:04.431Z,2026-09-13T03:00:12.227Z
SYN-P012,TRUE,2026-09-13 by simulation for pipeline demonstration,A,25-44,F,secondary,no,zh,2026-09-13T03:11:26.166Z,2026-09-13T03:12:20.586Z,3,FALSE,1274,424.7,621,598.0,37,5,97.3,18,1,TRUE,4,5,4,4,TRUE,2026-09-13T03:17:18.531Z,2026-09-13T03:17:42.102Z
SYN-P013,TRUE,2026-09-13 by simulation for pipeline demonstration,A,25-44,M,degree+,no,zh,2026-09-13T03:23:50.460Z,2026-09-13T03:25:05.673Z,6,FALSE,2424,404.0,612,580.7,76,13,97.4,18,0.8,TRUE,3,4,5,2,TRUE,2026-09-13T03:33:25.556Z,2026-09-13T03:33:48.169Z
SYN-P014,TRUE,2026-09-13 by simulation for pipeline demonstration,A,65-80,F,post-secondary,yes,zh,2026-09-13T03:33:50.094Z,2026-09-13T03:35:06.923Z,2,FALSE,632,316.0,514,501.0,27,11,96.3,10.8,0.6,TRUE,4,4,4,5,TRUE,2026-09-13T03:38:46.922Z,2026-09-13T03:38:57.130Z
